# DATE = date model was fitted
# ID = model number
# PART = party
# PER = fitted voting intention percentage as of `DATE`, from Stan's alphas
# SE = standard error for `PER`
DATE	ID	PART	PER	SE
"2015-03-24"	7	"OTHER"	5.28	0.03848
"2015-03-24"	6	"CON"	37.02	0.2754
"2015-03-24"	6	"LAB"	37.42	0.2799
"2015-03-24"	6	"LD"	7.634	0.057
"2015-03-24"	6	"UKIP"	9.779	0.07626
"2015-03-24"	6	"GREEN"	2.827	0.02443
"2015-03-24"	6	"OTHER"	5.324	0.04067
"2015-03-24"	5	"CON"	35.88	0.2462
"2015-03-24"	5	"LAB"	36.42	0.2521
"2015-03-24"	5	"LD"	7.441	0.0519
"2015-03-24"	5	"UKIP"	11.21	0.08087
"2015-03-24"	5	"GREEN"	3.797	0.0276
"2015-03-24"	5	"OTHER"	5.256	0.03682
"2015-03-24"	4	"CON"	34.96	0.2767
"2015-03-24"	4	"LAB"	35.99	0.2851
"2015-03-24"	4	"LD"	7.334	0.05863
"2015-03-24"	4	"UKIP"	12.17	0.1009
"2015-03-24"	4	"GREEN"	4.226	0.03467
"2015-03-24"	4	"OTHER"	5.32	0.04297
"2015-03-24"	3	"CON"	34.96	0.2747
"2015-03-24"	3	"LAB"	35.91	0.2824
"2015-03-24"	3	"LD"	7.346	0.05821
"2015-03-24"	3	"UKIP"	12.23	0.09974
"2015-03-24"	3	"GREEN"	4.254	0.03498
"2015-03-24"	3	"OTHER"	5.306	0.04247
"2015-03-24"	2	"CON"	31.95	0.09558
"2015-03-24"	2	"LAB"	33.14	0.1025
"2015-03-24"	2	"LD"	8.049	0.02455
"2015-03-24"	2	"UKIP"	15.12	0.047
"2015-03-24"	2	"GREEN"	5.758	0.01794
"2015-03-24"	2	"OTHER"	5.987	0.01835
"2015-03-25"	7	"CON"	37.52	0.2696
"2015-03-25"	7	"LAB"	37.99	0.2739
"2015-03-25"	7	"LD"	7.657	0.05473
"2015-03-25"	7	"UKIP"	9.219	0.0738
"2015-03-25"	7	"GREEN"	2.853	0.02782
"2015-03-25"	7	"OTHER"	4.762	0.03522
"2015-03-25"	6	"CON"	37.52	0.2906
"2015-03-25"	6	"LAB"	37.76	0.2924
"2015-03-25"	6	"LD"	7.621	0.05962
"2015-03-25"	6	"UKIP"	9.169	0.07372
"2015-03-25"	6	"GREEN"	3.165	0.02699
"2015-03-25"	6	"OTHER"	4.768	0.03763
"2015-03-25"	5	"CON"	36.08	0.2519
"2015-03-25"	5	"LAB"	36.43	0.2565
"2015-03-25"	5	"LD"	7.507	0.05349
"2015-03-25"	5	"UKIP"	10.89	0.07906
"2015-03-25"	5	"GREEN"	3.943	0.0289
"2015-03-25"	5	"OTHER"	5.15	0.03641
"2015-03-25"	4	"CON"	35.09	0.2678
"2015-03-25"	4	"LAB"	35.99	0.2735
"2015-03-25"	4	"LD"	7.306	0.05649
"2015-03-25"	4	"UKIP"	12.16	0.09709
"2015-03-25"	4	"GREEN"	4.186	0.03241
"2015-03-25"	4	"OTHER"	5.271	0.04037
"2015-03-25"	3	"CON"	34.92	0.2805
"2015-03-25"	3	"LAB"	35.85	0.2896
"2015-03-25"	3	"LD"	7.354	0.05952
"2015-03-25"	3	"UKIP"	12.28	0.1031
"2015-03-25"	3	"GREEN"	4.267	0.03572
"2015-03-25"	3	"OTHER"	5.329	0.04371
"2015-03-25"	2	"CON"	32.06	0.09486
"2015-03-25"	2	"LAB"	33.13	0.1001
"2015-03-25"	2	"LD"	8.008	0.02405
"2015-03-25"	2	"UKIP"	15.08	0.04457
"2015-03-25"	2	"GREEN"	5.733	0.01725
"2015-03-25"	2	"OTHER"	5.986	0.01814
"2015-03-26"	7	"CON"	37.64	0.2726
"2015-03-26"	7	"LAB"	38.19	0.2765
"2015-03-26"	7	"LD"	7.7	0.05474
"2015-03-26"	7	"UKIP"	8.941	0.07218
"2015-03-26"	7	"GREEN"	2.745	0.02643
"2015-03-26"	7	"OTHER"	4.789	0.03473
"2015-03-26"	6	"CON"	37.52	0.2976
"2015-03-26"	6	"LAB"	37.9	0.2974
"2015-03-26"	6	"LD"	7.674	0.06055
"2015-03-26"	6	"UKIP"	9.036	0.0753
"2015-03-26"	6	"GREEN"	3.068	0.02698
